Simulation Run,Day,Agent Type,Satisfaction,Rejected Received Exchanges,Accepted Received Exchanges,Rejected Requested Exchanges,Accepted Requested Exchanges,Social Capital Exchanges,No Social Capital Exchanges,Unspent Social Capital
1,3,2,1.0,1,0,3,2,0,0,1
1,3,2,0.25,14,1,19,0,0,1,0
1,3,1,1.0,2,1,8,2,0,1,3
1,4,2,0.75,9,0,31,1,0,0,2
1,4,2,0.75,11,1,33,1,0,1,1
1,4,2,0.0,65,0,13,0,0,0,1
1,4,2,0.75,12,2,15,2,1,1,3
1,4,1,0.75,17,1,29,1,0,1,4
1,4,2,1.0,1,1,4,3,1,0,4
1,4,1,0.75,16,1,14,2,0,1,1
1,4,2,1.0,2,1,1,3,0,1,1
1,4,2,0.75,29,1,32,3,1,0,2
1,4,1,0.5,12,0,29,0,0,0,1
1,4,2,0.25,36,0,26,1,0,0,0
1,4,1,0.75,5,1,29,0,0,1,2
1,4,1,0.75,20,1,18,1,0,1,1
1,4,2,0.75,4,1,20,3,1,0,0
1,4,1,0.5,19,1,16,0,0,1,2
1,4,2,0.5,19,1,18,1,0,1,1
1,4,2,0.75,32,1,17,2,0,1,3
1,4,1,1.0,1,1,3,2,0,1,1
1,4,1,0.25,29,1,26,0,0,1,3
1,4,2,1.0,4,3,6,1,0,3,2
1,4,1,0.5,34,2,18,0,0,2,5
1,4,2,1.0,0,3,7,1,0,3,2
1,4,2,1.0,2,0,11,3,0,0,1
1,4,2,1.0,5,0,5,2,0,0,2
1,4,2,0.75,21,2,25,1,0,2,1
1,4,1,0.75,12,2,23,1,0,2,4
1,4,2,0.25,17,1,24,0,0,1,2
1,4,2,0.75,23,2,21,2,1,1,2
1,4,1,0.5,30,1,18,1,0,1,2
1,4,1,0.75,45,0,24,1,0,0,0
1,4,1,0.25,33,1,12,0,0,1,1
1,4,1,0.5,48,0,20,1,0,0,1
1,4,1,1.0,0,3,1,1,0,3,5
1,4,2,0.75,14,3,23,1,1,2,3
1,4,1,1.0,7,1,6,2,0,1,2
1,4,1,0.5,21,0,26,1,0,0,0
1,4,1,0.75,12,1,4,2,0,1,0
1,4,2,0.5,24,2,10,0,0,2,3
1,4,2,0.75,11,0,17,3,0,0,1
1,4,2,0.75,6,3,14,0,0,3,5
1,4,1,0.75,4,2,21,1,0,2,3
1,4,2,0.5,32,2,22,0,0,2,3
1,4,1,1.0,3,1,6,3,0,1,1
1,4,1,1.0,17,2,18,1,0,2,3
1,4,1,0.75,27,0,17,2,0,0,1
1,4,2,0.5,58,2,12,1,1,1,0
1,4,2,0.5,24,1,17,1,0,1,3
1,4,2,0.75,22,0,26,3,0,0,3
1,4,1,0.75,13,1,30,1,0,1,1
1,4,1,0.75,17,2,15,1,0,2,3
1,4,2,0.5,12,2,27,0,0,2,2
1,4,2,0.5,25,1,26,0,0,1,3
1,4,1,1.0,6,1,7,3,0,1,0
1,4,1,1.0,3,1,1,3,0,1,2
1,4,2,0.75,5,2,35,1,1,1,3
1,4,1,0.5,23,1,27,0,0,1,3
1,4,2,0.5,23,1,22,1,0,1,1
1,4,1,0.75,11,1,20,1,0,1,2
1,4,1,1.0,5,2,14,2,0,2,1
1,4,2,0.25,31,0,22,1,0,0,2
1,4,1,1.0,1,1,4,3,0,1,2
1,4,1,0.75,16,1,27,1,0,1,2
1,4,1,0.75,13,0,23,2,0,0,0
1,4,2,0.5,44,3,17,1,2,1,3
1,4,2,1.0,30,3,10,0,0,3,2
1,4,2,0.75,10,1,18,1,0,1,2
1,4,2,0.75,7,2,35,1,1,1,0
1,4,1,0.75,6,1,27,2,0,1,1
1,4,2,0.5,45,0,15,1,0,0,3
1,4,1,0.75,29,2,20,0,0,2,4
1,4,1,0.75,23,3,15,0,0,3,2
1,4,1,0.5,12,0,20,2,0,0,4
1,4,1,1.0,6,1,4,3,0,1,3
1,4,1,1.0,6,0,13,3,0,0,1
1,4,2,0.75,12,1,25,2,0,1,1
1,4,2,1.0,13,2,8,2,0,2,2
1,4,2,0.75,10,2,32,1,0,2,3
1,4,1,0.75,34,0,19,1,0,0,0
1,4,2,0.75,18,1,35,1,0,1,1
1,4,2,0.5,33,2,22,0,0,2,3
1,4,2,0.75,3,1,24,2,1,0,2
1,4,1,1.0,7,2,14,2,0,2,3
1,4,1,0.75,39,2,13,1,0,2,2
1,4,2,1.0,5,2,3,2,0,2,2
1,4,2,1.0,6,2,14,2,0,2,1
1,4,2,1.0,0,1,1,1,0,1,2
1,4,1,1.0,5,2,7,1,0,2,1
1,4,2,0.5,44,2,21,0,0,2,3
1,4,2,0.75,4,0,25,1,0,0,2
1,4,2,0.25,32,1,22,0,0,1,0
1,4,1,0.25,23,1,22,0,0,1,1
1,4,1,0.75,18,0,24,2,0,0,1
1,4,1,0.5,36,2,20,0,0,2,5
1,4,2,1.0,7,1,7,1,0,1,1
1,4,1,0.5,26,2,26,0,0,2,3
1,4,1,0.75,32,1,18,1,0,1,2
1,5,1,0.5,14,1,30,1,0,1,1
1,5,1,0.75,24,2,26,0,0,2,2
1,5,2,1.0,3,2,5,2,1,1,2
1,5,1,0.75,34,1,19,1,0,1,1
1,5,1,0.75,18,2,24,0,0,2,2
1,5,1,1.0,4,1,3,1,0,1,2
1,5,2,0.5,26,1,22,1,0,1,3
1,5,2,0.5,61,0,9,1,0,0,3
1,5,2,0.5,14,1,27,0,1,0,1
1,5,1,1.0,3,0,1,2,0,0,0
1,5,2,0.75,14,2,18,1,0,2,3
1,5,1,0.5,19,0,27,1,0,0,5
1,5,2,0.25,24,2,16,1,2,0,2
1,5,2,0.75,10,2,19,2,1,1,5
1,5,1,0.5,7,0,31,0,0,0,1
1,5,2,0.75,30,2,23,1,0,2,3
1,5,2,0.5,26,2,23,0,0,2,2
1,5,2,0.5,38,1,20,0,0,1,4
1,5,1,0.5,26,2,22,0,0,2,1
1,5,1,1.0,6,0,4,3,0,0,3
1,5,1,1.0,8,3,13,1,0,3,4
1,5,1,0.75,14,1,21,1,0,1,3
1,5,2,0.5,6,2,27,0,0,2,3
1,5,1,0.75,6,0,15,1,0,0,2
1,5,1,0.75,7,1,35,2,0,1,4
1,5,2,0.5,30,2,13,1,1,1,4
1,5,1,1.0,2,1,1,3,0,1,0
1,5,2,0.5,17,0,27,1,0,0,1
1,5,1,0.75,2,1,7,0,0,1,2
1,5,1,1.0,6,2,3,2,0,2,4
1,5,2,1.0,8,2,2,2,0,2,4
1,5,1,1.0,9,1,9,3,0,1,2
1,5,1,0.25,33,0,15,1,0,0,1
1,5,1,1.0,3,1,4,2,0,1,2
1,5,2,0.5,30,1,8,1,0,1,3
1,5,1,0.75,11,1,8,1,0,1,2
1,5,2,0.75,21,3,9,2,2,1,2
1,5,2,0.75,6,1,28,2,0,1,2
1,5,2,0.5,22,2,23,0,0,2,3
1,5,1,1.0,6,2,8,2,0,2,2
1,5,1,0.75,43,2,14,0,0,2,2
1,5,1,0.5,11,1,26,1,0,1,1
1,5,1,0.75,18,1,13,1,0,1,3
1,5,2,0.5,41,0,23,0,0,0,3
1,5,1,0.75,22,0,20,2,0,0,0
1,5,1,1.0,13,0,28,3,0,0,2
1,5,1,0.5,26,2,9,0,0,2,4
1,5,1,0.75,11,2,31,0,0,2,2
1,5,1,1.0,7,1,10,3,0,1,5
1,5,2,0.5,27,2,26,1,1,1,4
1,5,2,0.75,26,3,11,0,0,3,4
1,5,2,0.75,22,1,21,2,1,0,3
1,5,1,1.0,15,0,23,3,0,0,2
1,5,2,0.25,27,0,24,1,0,0,1
1,5,2,0.25,12,1,34,0,1,0,2
1,5,1,0.5,19,1,27,1,0,1,3
1,5,1,0.75,7,3,14,0,0,3,4
1,5,2,1.0,5,2,11,2,0,2,4
1,5,2,0.75,5,2,42,2,1,1,2
1,5,2,0.75,5,2,3,1,0,2,1
1,5,1,0.75,16,1,31,2,0,1,1
1,5,2,0.75,3,2,34,1,0,2,4
1,5,1,0.75,27,0,20,1,0,0,3
1,5,2,0.5,11,2,24,0,1,1,5
1,5,2,0.75,8,3,10,2,2,1,4
1,5,2,0.75,8,3,17,1,1,2,4
1,5,2,0.5,17,1,14,1,1,0,3
1,5,1,0.75,32,0,15,1,0,0,2
1,5,2,1.0,8,1,7,2,0,1,3
1,5,1,0.75,34,1,25,1,0,1,1
1,5,2,0.75,10,3,34,2,2,1,2
1,5,2,0.5,17,0,18,2,0,0,0
1,5,1,1.0,10,1,12,3,0,1,1
1,5,2,0.5,18,1,31,1,1,0,2
1,5,1,0.25,60,1,7,0,0,1,3
1,5,2,0.75,38,2,24,1,0,2,4
1,5,2,1.0,7,3,5,2,1,2,2
1,5,1,0.75,28,2,27,1,0,2,2
1,5,2,0.5,23,2,22,0,1,1,3
1,5,1,1.0,20,0,8,3,0,0,1
1,5,1,1.0,5,0,14,3,0,0,4
1,5,2,1.0,2,4,1,2,2,2,1
1,5,1,0.25,40,1,21,0,0,1,1
1,5,2,1.0,5,2,9,2,0,2,3
1,5,2,1.0,3,0,1,3,0,0,0
1,5,2,1.0,1,3,1,2,1,2,3
1,5,2,0.75,12,1,26,1,0,1,1
1,5,2,0.5,12,0,27,2,0,0,0
1,5,2,0.5,14,0,22,1,0,0,0
1,5,2,1.0,8,2,6,1,0,2,2
1,5,1,0.75,34,0,9,2,0,0,1
1,5,2,0.75,28,0,14,1,0,0,2
1,5,2,0.5,29,1,21,1,0,1,2
1,5,2,1.0,12,2,11,3,1,1,3
1,5,1,0.75,25,1,20,0,0,1,1
1,5,1,1.0,14,0,6,3,0,0,0
1,6,1,1.0,4,0,4,2,0,0,1
