Simulation Run,Day,Round,Agent Type,Satisfaction
2,191,30,2,0.8125
2,191,31,1,0.0
2,191,31,2,0.8151041666666666
2,191,32,1,0.0
2,191,32,2,0.8177083333333334
2,191,33,1,0.0
2,191,33,2,0.8203125
2,191,34,1,0.0
2,191,34,2,0.8203125
2,191,35,1,0.0
2,191,35,2,0.8203125
2,191,36,1,0.0
2,191,36,2,0.8203125
2,191,37,1,0.0
2,191,37,2,0.8229166666666666
2,191,38,1,0.0
2,191,38,2,0.8229166666666666
2,191,39,1,0.0
2,191,39,2,0.8229166666666666
2,191,40,1,0.0
2,191,40,2,0.8229166666666666
2,191,41,1,0.0
2,191,41,2,0.8229166666666666
2,191,42,1,0.0
2,191,42,2,0.8229166666666666
2,191,43,1,0.0
2,191,43,2,0.8229166666666666
2,191,44,1,0.0
2,191,44,2,0.8229166666666666
2,191,45,1,0.0
2,191,45,2,0.8229166666666666
2,191,46,1,0.0
2,191,46,2,0.8229166666666666
2,191,47,1,0.0
2,191,47,2,0.8229166666666666
2,192,0,1,0.0
2,192,0,2,0.2265625
2,192,1,1,0.0
2,192,1,2,0.2760416666666667
2,192,2,1,0.0
2,192,2,2,0.3411458333333333
2,192,3,1,0.0
2,192,3,2,0.3932291666666667
2,192,4,1,0.0
2,192,4,2,0.4479166666666667
2,192,5,1,0.0
2,192,5,2,0.4973958333333333
2,192,6,1,0.0
2,192,6,2,0.5390625
2,192,7,1,0.0
2,192,7,2,0.5651041666666666
2,192,8,1,0.0
2,192,8,2,0.5963541666666666
2,192,9,1,0.0
2,192,9,2,0.6276041666666666
2,192,10,1,0.0
2,192,10,2,0.6588541666666666
2,192,11,1,0.0
2,192,11,2,0.6848958333333334
2,192,12,1,0.0
2,192,12,2,0.7109375
2,192,13,1,0.0
2,192,13,2,0.734375
2,192,14,1,0.0
2,192,14,2,0.7630208333333334
2,192,15,1,0.0
2,192,15,2,0.7838541666666666
2,192,16,1,0.0
2,192,16,2,0.7916666666666666
2,192,17,1,0.0
2,192,17,2,0.796875
2,192,18,1,0.0
2,192,18,2,0.8046875
2,192,19,1,0.0
2,192,19,2,0.8125
2,192,20,1,0.0
2,192,20,2,0.8177083333333334
2,192,21,1,0.0
2,192,21,2,0.8177083333333334
2,192,22,1,0.0
2,192,22,2,0.8255208333333334
2,192,23,1,0.0
2,192,23,2,0.828125
2,192,24,1,0.0
2,192,24,2,0.828125
2,192,25,1,0.0
2,192,25,2,0.8307291666666666
2,192,26,1,0.0
2,192,26,2,0.8333333333333334
2,192,27,1,0.0
2,192,27,2,0.8333333333333334
2,192,28,1,0.0
2,192,28,2,0.8333333333333334
2,192,29,1,0.0
2,192,29,2,0.8333333333333334
2,192,30,1,0.0
2,192,30,2,0.8333333333333334
2,192,31,1,0.0
2,192,31,2,0.8333333333333334
2,192,32,1,0.0
2,192,32,2,0.8333333333333334
2,192,33,1,0.0
2,192,33,2,0.8359375
2,192,34,1,0.0
2,192,34,2,0.8359375
2,192,35,1,0.0
2,192,35,2,0.8359375
2,192,36,1,0.0
2,192,36,2,0.8359375
2,192,37,1,0.0
2,192,37,2,0.8359375
2,192,38,1,0.0
2,192,38,2,0.8411458333333334
2,192,39,1,0.0
2,192,39,2,0.8411458333333334
2,192,40,1,0.0
2,192,40,2,0.8411458333333334
2,192,41,1,0.0
2,192,41,2,0.8411458333333334
2,192,42,1,0.0
2,192,42,2,0.8411458333333334
2,192,43,1,0.0
2,192,43,2,0.8411458333333334
2,192,44,1,0.0
2,192,44,2,0.8411458333333334
2,192,45,1,0.0
2,192,45,2,0.84375
2,192,46,1,0.0
2,192,46,2,0.84375
2,192,47,1,0.0
2,192,47,2,0.84375
2,192,48,1,0.0
2,192,48,2,0.8463541666666666
2,192,49,1,0.0
2,192,49,2,0.8463541666666666
2,192,50,1,0.0
2,192,50,2,0.8463541666666666
2,192,51,1,0.0
2,192,51,2,0.8463541666666666
2,192,52,1,0.0
2,192,52,2,0.8463541666666666
2,192,53,1,0.0
2,192,53,2,0.8463541666666666
2,192,54,1,0.0
2,192,54,2,0.8463541666666666
2,192,55,1,0.0
2,192,55,2,0.8489583333333334
2,192,56,1,0.0
2,192,56,2,0.8489583333333334
2,192,57,1,0.0
2,192,57,2,0.8489583333333334
2,192,58,1,0.0
2,192,58,2,0.8489583333333334
2,192,59,1,0.0
2,192,59,2,0.8489583333333334
2,192,60,1,0.0
2,192,60,2,0.8489583333333334
2,192,61,1,0.0
2,192,61,2,0.8515625
2,192,62,1,0.0
2,192,62,2,0.8515625
2,192,63,1,0.0
2,192,63,2,0.8515625
2,192,64,1,0.0
2,192,64,2,0.8515625
2,192,65,1,0.0
2,192,65,2,0.8515625
2,192,66,1,0.0
2,192,66,2,0.8515625
2,192,67,1,0.0
2,192,67,2,0.8515625
2,192,68,1,0.0
2,192,68,2,0.8515625
2,192,69,1,0.0
2,192,69,2,0.8515625
2,192,70,1,0.0
2,192,70,2,0.8515625
2,192,71,1,0.0
2,192,71,2,0.8515625
2,193,0,1,0.0
2,193,0,2,0.1796875
2,193,1,1,0.0
2,193,1,2,0.2421875
2,193,2,1,0.0
2,193,2,2,0.296875
2,193,3,1,0.0
2,193,3,2,0.3645833333333333
2,193,4,1,0.0
2,193,4,2,0.3932291666666667
2,193,5,1,0.0
2,193,5,2,0.4348958333333333
2,193,6,1,0.0
2,193,6,2,0.484375
2,193,7,1,0.0
2,193,7,2,0.5130208333333334
2,193,8,1,0.0
2,193,8,2,0.5494791666666666
2,193,9,1,0.0
2,193,9,2,0.5911458333333334
2,193,10,1,0.0
2,193,10,2,0.6041666666666666
2,193,11,1,0.0
2,193,11,2,0.625
2,193,12,1,0.0
2,193,12,2,0.6432291666666666
2,193,13,1,0.0
2,193,13,2,0.6666666666666666
2,193,14,1,0.0
2,193,14,2,0.6796875
2,193,15,1,0.0
2,193,15,2,0.6927083333333334
2,193,16,1,0.0
2,193,16,2,0.6953125
2,193,17,1,0.0
2,193,17,2,0.7083333333333334
2,193,18,1,0.0
2,193,18,2,0.7161458333333334
2,193,19,1,0.0
2,193,19,2,0.7291666666666666
2,193,20,1,0.0
2,193,20,2,0.7369791666666666
2,193,21,1,0.0
2,193,21,2,0.7473958333333334
2,193,22,1,0.0
2,193,22,2,0.7473958333333334
2,193,23,1,0.0
2,193,23,2,0.75
2,193,24,1,0.0
2,193,24,2,0.75
2,193,25,1,0.0
2,193,25,2,0.7552083333333334
2,193,26,1,0.0
2,193,26,2,0.7578125
2,193,27,1,0.0
2,193,27,2,0.7604166666666666
2,193,28,1,0.0
2,193,28,2,0.7604166666666666
2,193,29,1,0.0
2,193,29,2,0.7604166666666666
2,193,30,1,0.0
2,193,30,2,0.7630208333333334
2,193,31,1,0.0
2,193,31,2,0.7630208333333334
2,193,32,1,0.0
2,193,32,2,0.765625
2,193,33,1,0.0
2,193,33,2,0.765625
2,193,34,1,0.0
2,193,34,2,0.7682291666666666
2,193,35,1,0.0
2,193,35,2,0.7682291666666666
2,193,36,1,0.0
2,193,36,2,0.7682291666666666
2,193,37,1,0.0
2,193,37,2,0.7682291666666666
2,193,38,1,0.0
2,193,38,2,0.7682291666666666
2,193,39,1,0.0
2,193,39,2,0.7682291666666666
2,193,40,1,0.0
2,193,40,2,0.7682291666666666
2,193,41,1,0.0
2,193,41,2,0.7682291666666666
2,193,42,1,0.0
2,193,42,2,0.7682291666666666
2,193,43,1,0.0
2,193,43,2,0.7682291666666666
2,193,44,1,0.0
2,193,44,2,0.7682291666666666
2,194,0,1,0.0
2,194,0,2,0.17708333333333334
2,194,1,1,0.0
2,194,1,2,0.23697916666666666
2,194,2,1,0.0
2,194,2,2,0.2760416666666667
2,194,3,1,0.0
2,194,3,2,0.3203125
2,194,4,1,0.0
2,194,4,2,0.3723958333333333
2,194,5,1,0.0
2,194,5,2,0.4088541666666667
2,194,6,1,0.0
2,194,6,2,0.453125
2,194,7,1,0.0
2,194,7,2,0.4947916666666667
2,194,8,1,0.0
2,194,8,2,0.5182291666666666
2,194,9,1,0.0
2,194,9,2,0.546875
2,194,10,1,0.0
2,194,10,2,0.5833333333333334
2,194,11,1,0.0
2,194,11,2,0.609375
2,194,12,1,0.0
2,194,12,2,0.640625
2,194,13,1,0.0
2,194,13,2,0.6744791666666666
2,194,14,1,0.0
2,194,14,2,0.7135416666666666
2,194,15,1,0.0
2,194,15,2,0.7265625
2,194,16,1,0.0
2,194,16,2,0.7369791666666666
2,194,17,1,0.0
2,194,17,2,0.7552083333333334
2,194,18,1,0.0
2,194,18,2,0.7760416666666666
2,194,19,1,0.0
2,194,19,2,0.7890625
2,194,20,1,0.0
2,194,20,2,0.7994791666666666
2,194,21,1,0.0
2,194,21,2,0.8151041666666666
2,194,22,1,0.0
2,194,22,2,0.8229166666666666
2,194,23,1,0.0
2,194,23,2,0.8229166666666666
2,194,24,1,0.0
2,194,24,2,0.8229166666666666
2,194,25,1,0.0
2,194,25,2,0.8255208333333334
2,194,26,1,0.0
2,194,26,2,0.8255208333333334
2,194,27,1,0.0
2,194,27,2,0.8255208333333334
2,194,28,1,0.0
2,194,28,2,0.8255208333333334
2,194,29,1,0.0
2,194,29,2,0.8255208333333334
2,194,30,1,0.0
2,194,30,2,0.828125
2,194,31,1,0.0
2,194,31,2,0.8307291666666666
